oeuvreLabel,auteurLabel,titre,genreLabel
Abrégé des Histoires philippiques de Trogue Pompée,Justin,,
Noctes Atticae,Aulu-Gelle,Noctes Atticae,Q1009974
Diatessaron,Tatien le Syrien,,
Address to the Greeks,Tatien le Syrien,Ἐπιστολὴ πρὸς Ἕλληνας,
Controverses,Sénèque l'Ancien,,controversia
Histoire naturelle,Pline l'Ancien,Naturalis historia,encyclopédie
Guerre des Juifs,Flavius Josèphe,La Guerre des Juifs : roman,roman historique
Satyricon,Pétrone,Satyricon,Menippean satire
Satyricon,Pétrone,Satyricon,roman érotique
Contre Apion,Flavius Josèphe,Contra Apionem,
Contre Apion,Flavius Josèphe,In Apionem,
Contre Apion,Flavius Josèphe,Φλαΐου Ἰωσήπου περὶ ἀρχαιότητος Ἰουδαίων,
Antiquités judaïques,Flavius Josèphe,Ἰουδαϊκὴ ἀρχαιολογία,
Antiquités judaïques,Flavius Josèphe,Antiquitates Judaicae,
Histoire ecclésiastique,Eusèbe de Césarée,,
Lettres de Pline le Jeune,Pline le Jeune,,genre épistolaire
Autobiographie,Flavius Josèphe,Ἰωσήπου βίος,autobiographie
Onomasticon (Eusebius),Eusèbe de Césarée,Περὶ τῶν τοπικῶν ὀνομάτων τῶν ἐν τῇ Θείᾳ Γραφῇ,Onomasticon
Odyssée,Livius Andronicus,Ὀδύσσεια,épopée
Origines,Caton l'Ancien,,histoire
Origines,Caton l'Ancien,,essai
pont de Trajan,Apollodore de Damas,,
Métamorphoses,Apulée,Asinus aureus,roman picaresque
Métamorphoses,Apulée,Metamorphoseon,roman picaresque
De la mort des persécuteurs,Lactance,,essai
De agri cultura,Caton l'Ancien,De agri cultura,
Satires,Juvénal,Saturae,
Exhortation aux Grecs,Clément d'Alexandrie,Προτρεπτικὸς πρὸς Ἕλληνας,
Apologia,Apulée,,
De lingua Latina,Varron,,
Histoire romaine,Appien,,historiographie latine
Histoire romaine,Dion Cassius,,
Contre Marcion,Tertullien,,
Poliorcétiques,Apollodore de Damas,,
Res Gestae,Ammien Marcellin,Res gestae,annales
Res Gestae,Ammien Marcellin,Rerum gestarum libri XXXI,annales
Aratea,Germanicus,Aratea,poème
La Pharsale,Lucain,La Pharsale,
